Date,Close,fear_metric,rating,,,
2018-11-27,159.33,19.0,extreme_fear,,,
2018-11-28,161.9,21.0,extreme_fear,,,
2018-11-29,160.75,23.0,extreme_fear,,,
2018-11-30,162.22,22.0,extreme_fear,,,
2018-12-03,163.87,20.0,extreme_fear,,,
2018-12-04,159.85,20.0,extreme_fear,,,
2018-12-06,157.38,15.0,extreme_fear,,,
2018-12-07,155.26,11.0,extreme_fear,,,
2018-12-10,154.43,9.0,extreme_fear,,,
2018-12-11,155.28,8.0,extreme_fear,,,
2018-12-12,156.39,10.0,extreme_fear,,,
2018-12-13,156.54,11.0,extreme_fear,,,
2018-12-14,154.7,8.0,extreme_fear,,,
2018-12-17,151.93,10.0,extreme_fear,,,
2018-12-18,151.09,8.0,extreme_fear,,,
2018-12-19,149.11,8.0,extreme_fear,,,
2018-12-20,146.83,5.0,extreme_fear,,,
2018-12-21,144.76,3.0,extreme_fear,,,
2018-12-27,146.97,8.0,extreme_fear,,,
2018-12-28,147.22,12.0,extreme_fear,,,
2019-01-02,149.07,12.0,extreme_fear,,,
2019-01-03,146.37,10.0,extreme_fear,,,
2019-01-04,150.16,16.0,extreme_fear,,,
2019-01-07,150.71,19.0,extreme_fear,,,
2019-01-08,152.28,22.0,extreme_fear,,,
2019-01-09,152.56,27.0,fear,,,
2019-01-10,152.95,31.0,fear,,,
2019-01-11,153.49,30.0,fear,,,
2019-01-14,152.93,28.0,fear,,,
2019-01-15,154.63,31.0,fear,,,
2019-01-16,155.36,36.0,fear,,,
2019-01-17,156.29,44.0,fear,,,
2019-01-18,158.47,51.0,greed,,,
2019-01-22,156.87,51.0,greed,,,
2019-01-23,156.65,55.0,greed,,,
2019-01-24,157.26,58.0,greed,,,
2019-01-25,158.12,58.0,greed,,,
2019-01-28,156.6,55.0,greed,,,
2019-01-29,156.89,55.0,greed,,,
2019-01-30,158.47,58.0,greed,,,
2019-01-31,159.22,58.0,greed,,,
2019-02-01,159.4,61.0,greed,,,
2019-02-04,160.59,62.0,greed,,,
2019-02-05,161.94,64.0,greed,,,
2019-02-06,162.05,63.0,greed,,,
2019-02-07,160.77,63.0,greed,,,
2019-02-08,160.7,63.0,greed,,,
2019-02-11,161.53,62.0,greed,,,
2019-02-12,163.09,67.0,greed,,,
2019-02-13,163.87,65.0,greed,,,
2019-02-14,163.7,67.0,greed,,,
2019-02-15,165.39,67.0,greed,,,
2019-02-19,165.09,69.0,greed,,,
2019-02-20,165.49,70.0,greed,,,
2019-02-21,165.05,70.0,greed,,,
2019-02-22,165.94,69.0,greed,,,
